Tweet,Source Type,Source URL
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/obaDyvCXnb",Twitter Web App,https://t.co/obaDyvCXnb
bila aku nk kena vaksin?,Twitter Web App,vaksin?
"Presiden Pastikan Vaksinasi Merata dari Sabang sampai Merauke, 3 Oktober

Jokowi:
""Saya datang ke Merauke, Papua, utk melihat program vaksinasi yg dilaksanakan di sini. Saya ingin pastikan bhw dari Sabang sampai Merauke pemerataan vaksin itu ada &amp; vaksinasi itu berjalan dgn baik” https://t.co/FzmKfMW8qN",Twitter Web App,https://t.co/FzmKfMW8qN
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/uCKHuTJpx0",Twitter Web App,https://t.co/uCKHuTJpx0
@_pinieyheree HAHAHAHAHA..tatau laa..sbb orang kata vaksin jenis pfizer ni dpt membesarkan otot..tah lerr betul ke idok,Twitter Web App,idok
"Ayo Vaksin!
Alhamdulillah hari Minggu kemarin bisa kembali menggelar vaksinasi massal di Masjid Ni'matul Ittihad, Pondok Pinang Jaksel. 

Mari sama-sama kita sukseskan vaksinasi untuk warga Jakarta sehingga terbentuk herd imunity dan kondisi ekonomi berangsur pulih kembali. https://t.co/4DZUdwYWpz",Twitter for Android,https://t.co/4DZUdwYWpz
"Pernyataan/Video Lukas Enembe yang mengajak masyarakat datang berbondong-bondong menonton pertandingan PON adalah Hoax;  Kapasitas Venue PON Maksimal 25% dan Masyarakat yang ingin menonton secara langsung wajib mengikuti Prokes ketat

Vaksin Sukseskan PON https://t.co/AksKYD5wXa",Twitter Web App,https://t.co/AksKYD5wXa
"Sasaran untuk mencapai 90 peratus vaksinasi dewasa kini tinggal kira-kira 2.4 peratus.

https://t.co/ciSDkpc5t1",Hootsuite Inc.,https://t.co/ciSDkpc5t1
@jogmfs di ig info vaksin Jogja ada keknya,Twitter Web App,keknya
Ada sale di bw tapi ga jd masuk krn doi blm vaksin ke 2🥲,Twitter for iPhone,2🥲
