Text,Kategori,URL
['Mau Terbang Naik Garuda Indonesia? Simak Persyaratannya'],"<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5767655/mau-terbang-naik-garuda-indonesia-simak-persyaratannya
['Menkes Pastikan Akses Vaksin COVID-19 Warga Baduy dan Masyarakat Adat lain'],"<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767705/menkes-pastikan-akses-vaksin-covid-19-warga-baduy-dan-masyarakat-adat-lain
"[""Kata Siapa Orang Baduy Tak Pernah Tes COVID-19? Setahun Pandemi 'Cuma' 1 Kasus""]","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767695/kata-siapa-orang-baduy-tak-pernah-tes-covid-19-setahun-pandemi-cuma-1-kasus
"[""Setahun Pandemi Nyaris Nol Kasus, Apa Rahasia Warga Baduy 'Tangkal' Corona?""]","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767682/setahun-pandemi-nyaris-nol-kasus-apa-rahasia-warga-baduy-tangkal-corona
['Jemawa Imun Tinggi Bikin Presiden Brasil Ogah Divaksin Corona'],"<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5767671/jemawa-imun-tinggi-bikin-presiden-brasil-ogah-divaksin-corona
['Joe Biden Pamer Pencapaian AS Perangi Covid-19'],"<span class=""category"">detikNews</span>",https://news.detik.com/detiktv/d-5767635/joe-biden-pamer-pencapaian-as-perangi-covid-19
['FDA Debat soal Kebutuhan Booster Vaksin Moderna Dosis Rendah'],"<span class=""category"">detikHealth</span>",https://health.detik.com/detiktv/d-5767627/fda-debat-soal-kebutuhan-booster-vaksin-moderna-dosis-rendah
['Semarang Dinilai Sukses Tangani Pandemi Berkat Tata Kelola Kota Cerdas'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767561/semarang-dinilai-sukses-tangani-pandemi-berkat-tata-kelola-kota-cerdas
['Korban Jambret yang Diledek Pelaku di Jaktim Akhirnya Dapatkan Lagi HP-nya'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767553/korban-jambret-yang-diledek-pelaku-di-jaktim-akhirnya-dapatkan-lagi-hp-nya
['60 Juta Orang Sudah Download Aplikasi PeduliLindungi'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767546/60-juta-orang-sudah-download-aplikasi-pedulilindungi
['Airlangga Tinjau Kesiapan KEK Mandalika Jelang Event WSBK 2021'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767527/airlangga-tinjau-kesiapan-kek-mandalika-jelang-event-wsbk-2021
"['Waduh! Niat Divaksin Flu, Dua Balita Ini Malah Disuntik Pfizer Dosis Dewasa']","<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767477/waduh-niat-divaksin-flu-dua-balita-ini-malah-disuntik-pfizer-dosis-dewasa
"['Bikin Senang Pengunjung, GL Zoo Yogya Ajak Bersepeda Sembari Berwisata']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5767306/bikin-senang-pengunjung-gl-zoo-yogya-ajak-bersepeda-sembari-berwisata
"['Aturan Prokes Baru Masuk RI, WNI dan WNA Wajib Sudah Divaksin']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767497/aturan-prokes-baru-masuk-ri-wni-dan-wna-wajib-sudah-divaksin
['Pilot Maskapai Ini Dikabarkan Meninggal karena Covid Saat Terbang'],"<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5766778/pilot-maskapai-ini-dikabarkan-meninggal-karena-covid-saat-terbang
['Panglima TNI dan Kapolri Apresiasi Kekompakan Banyuwangi Genjot Vaksinasi'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-timur/d-5767403/panglima-tni-dan-kapolri-apresiasi-kekompakan-banyuwangi-genjot-vaksinasi
['Alasan WHO Akhirnya Luluh soal Vaksin Covid-19 Dosis Ketiga'],"<span class=""category"">detikHealth</span>",https://health.detik.com/detiktv/d-5767409/alasan-who-akhirnya-luluh-soal-vaksin-covid-19-dosis-ketiga
"['Panglima TNI: Tren COVID Turun, Tetap Wajib Masker dan Vaksin Lengkap']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767347/panglima-tni-tren-covid-turun-tetap-wajib-masker-dan-vaksin-lengkap
['4.143 Personel Gabungan Dikerahkan Amankan Pilkades Serentak Cirebon'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita-jawa-barat/d-5767310/4143-personel-gabungan-dikerahkan-amankan-pilkades-serentak-cirebon
"['Presiden Brasil Ogah Divaksin Corona, Taiwan Peringatkan China']","<span class=""category"">detikNews</span>",https://news.detik.com/internasional/d-5767305/presiden-brasil-ogah-divaksin-corona-taiwan-peringatkan-china
"['Cara Check Out PeduliLindungi Terbaru, Gampang Banget!']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767270/cara-check-out-pedulilindungi-terbaru-gampang-banget
['601 Ribu Vaksin Pfizer Tiba di RI Akan Didistribusikan ke 8 Provinsi'],"<span class=""category"">detikHealth</span>",https://health.detik.com/berita-detikhealth/d-5767255/601-ribu-vaksin-pfizer-tiba-di-ri-akan-didistribusikan-ke-8-provinsi
"['Satgas Minta Bali-Kepri Jaga Mobilitas Turis Asing, Jangan Sampai Wisata ke Luar Daerah']","<span class=""category"">detikTravel</span>",https://travel.detik.com/travel-news/d-5767253/satgas-minta-bali-kepri-jaga-mobilitas-turis-asing-jangan-sampai-wisata-ke-luar-daerah
['Bill Gates Diminta Kirim Bantuan Kemanusiaan ke Afghanistan'],"<span class=""category"">detikInet</span>",https://inet.detik.com/cyberlife/d-5767251/bill-gates-diminta-kirim-bantuan-kemanusiaan-ke-afghanistan
"['Silaturahmi dengan PCNU Banyuwangi, Kapolri Ajak Perkuat Penanganan COVID']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767221/silaturahmi-dengan-pcnu-banyuwangi-kapolri-ajak-perkuat-penanganan-covid
['ID Sertifikat Vaksin yang Mana? Yuk Cek Sama-sama di Sini'],"<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767158/id-sertifikat-vaksin-yang-mana-yuk-cek-sama-sama-di-sini
"['PeduliLindungi Tidak Bisa Checkout, Saya Harus Bagaimana?']","<span class=""category"">detikNews</span>",https://news.detik.com/berita/d-5767099/pedulilindungi-tidak-bisa-checkout-saya-harus-bagaimana
