Text,URL
['[SALAH] Foto Daftar Obat Dari RS Yang Bisa Digunakan Sendiri oleh Pasien Covid-19'],https://turnbackhoax.id/2021/07/02/salah-foto-daftar-obat-dari-rs-yang-bisa-digunakan-sendiri-oleh-pasien-covid-19/
"['[SALAH] Perusahaan Biofarmasi Moderna, Inc Mengembangkan Vaksin Covid-19 Sebelum Munculnya Pandemi']",https://turnbackhoax.id/2021/07/02/salah-perusahaan-biofarmasi-moderna-inc-mengembangkan-vaksin-covid-19-sebelum-munculnya-pandemi/
['[SALAH] Covid-19 Tidak Mematikan'],https://turnbackhoax.id/2021/06/26/salah-covid-19-tidak-mematikan/
['[SALAH] Resep Obat Untuk Pasien Covid-19'],https://turnbackhoax.id/2021/06/25/salah-resep-obat-untuk-pasien-covid-19/
"['[SALAH] Jateng Membludak, Media TV Hanya Liput Covid-19 di DKI Jakarta']",https://turnbackhoax.id/2021/06/24/salah-jateng-membludak-media-tv-hanya-liput-covid-19-di-dki-jakarta/
"['[SALAH] “Pemkot Pekanbaru, Riau menarik vaksin Covid-19 karena keampuhan vaksin masih tarik ulur”']",https://turnbackhoax.id/2021/06/17/salah-pemkot-pekanbaru-riau-menarik-vaksin-covid-19-karena-keampuhan-vaksin-masih-tarik-ulur/
['[SALAH] Vaksinasi Sebabkan Varian Baru COVID-19'],https://turnbackhoax.id/2021/06/16/salah-vaksinasi-sebabkan-varian-baru-covid-19/
['[SALAH] Video “Eric Tohir Sangat Terbuka Menjelaskan Tentang Chip yang Ada dalam Vaksin Covid-19”'],https://turnbackhoax.id/2021/06/11/salah-video-eric-tohir-sangat-terbuka-menjelaskan-tentang-chip-yang-ada-dalam-vaksin-covid-19/
['[SALAH] Foto-foto “Orang Mati COVID-19 yang Dilempar ke Laut Tiba di Laut Sabah”'],https://turnbackhoax.id/2021/06/06/salah-foto-foto-orang-mati-covid-19-yang-dilempar-ke-laut-tiba-di-laut-sabah/
['[FALSE] The Photos of “COVID-19 dead people thrown in the Sea arrived at Sabah Ocean”'],https://turnbackhoax.id/2021/06/06/false-the-photos-of-covid-19-dead-people-thrown-in-the-sea-arrived-at-sabah-ocean/
['[SALAH] Bahaya Donor Darah Dari Orang yang Sudah Divaksin Covid-19'],https://turnbackhoax.id/2021/06/04/salah-bahaya-donor-darah-dari-orang-yang-sudah-divaksin-covid-19/
